Runde 1:
09:00
Bane  1 | N | Vi er de bedste vs Vi er de bedste
Bane  2 | A | Floorball 1 vs Team noget
Bane  3 | B | De andre er dårlige vs Floorball 4
Bane  4 | C | Floorball 2 vs Floorball 3
Bane  5 | A | Floorball 1 vs Team noget
Bane  6 | B | Floorball 4 vs De andre er dårlige
Bane  7 | C | Floorball 2 vs Floorball 3
Bane  8 | N | Vi er de bedste vs Vi er de bedste
Bane  9 | C | Floorball 3 vs Floorball 2
Bane 10 | A | Team noget vs Floorball 1
Bane 11 | A | Team noget vs Floorball 1
Bane 12 | C | Floorball 3 vs Floorball 2

